,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9799196787148594,0.9911971830985915,0.988360814742968,0.9823356231599607,0.9938461538461538,0.9943246311010215,0.9874869655891554,0.9786614936954413,0.9906928645294726,0.9830845771144279,0.9869,0.9869909985592052,0.986931563909629
recall,0.9959183673469387,0.9920704845814978,0.9874031007751938,0.9910891089108911,0.9867617107942973,0.9820627802690582,0.988517745302714,0.9815175097276264,0.9835728952772074,0.979187314172448,0.9869,0.9868101017157873,0.9869
f1-score,0.9878542510121457,0.9916336415675914,0.9878817256422685,0.9866929521931986,0.9902912621359223,0.988155668358714,0.9880020865936359,0.9800874210781932,0.9871200412158682,0.9811320754716981,0.9869,0.9868851125269238,0.9869009099462804
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9869,10000.0,10000.0
