,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9798590130916415,0.9885864793678666,0.9757516973811833,0.9745347698334965,0.9826175869120655,0.986409966024915,0.9853862212943633,0.9755142017629774,0.9713701431492843,0.9719438877755511,0.9792,0.9791973966593345,0.9792006017788697
recall,0.9928571428571429,0.9920704845814978,0.9748062015503876,0.9851485148514851,0.9786150712830958,0.976457399103139,0.9853862212943633,0.9688715953307393,0.9753593429158111,0.9613478691774033,0.9792,0.9790919842945065,0.9792
f1-score,0.9863152559553978,0.990325417766051,0.9752787203102278,0.9798129000492368,0.9806122448979592,0.9814084507042253,0.9853862212943633,0.972181551976574,0.9733606557377049,0.966616841056303,0.9792,0.9791298259748042,0.9791856837674859
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9792,10000.0,10000.0
